Source	Target	Type	Id	Label	Weight
12340	12341	Undirected			2
12340	12342	Undirected			1
12340	12343	Undirected			5
12340	12344	Undirected			3
12340	12345	Undirected			1
12340	12347	Undirected			1
12340	12356	Undirected			2
12340	12358	Undirected			1
12340	12359	Undirected			1
12340	12362	Undirected			4
12341	12340	Undirected			2
12341	12347	Undirected			1
12341	12348	Undirected			1
12341	12356	Undirected			2
12341	12358	Undirected			2
12342	12340	Undirected			1
12342	12359	Undirected			1
12343	12340	Undirected			5
12343	12344	Undirected			12
12343	12345	Undirected			13
12343	12346	Undirected			1
12343	12348	Undirected			1
12343	12349	Undirected			1
12343	12350	Undirected			4
12343	12351	Undirected			2
12343	12352	Undirected			1
12343	12353	Undirected			1
12343	12356	Undirected			8
12343	12357	Undirected			3
12343	12358	Undirected			14
12343	12359	Undirected			2
12343	12361	Undirected			8
12343	12362	Undirected			21
12344	12340	Undirected			3
12344	12343	Undirected			12
12344	12345	Undirected			1
12344	12347	Undirected			3
12344	12348	Undirected			6
12344	12349	Undirected			1
12344	12350	Undirected			4
12344	12352	Undirected			1
12344	12353	Undirected			1
12344	12354	Undirected			1
12344	12357	Undirected			1
12344	12359	Undirected			3
12344	12361	Undirected			9
12344	12362	Undirected			6
12345	12340	Undirected			1
12345	12343	Undirected			13
12345	12344	Undirected			1
12345	12348	Undirected			2
12345	12352	Undirected			2
12345	12356	Undirected			2
12345	12358	Undirected			4
12345	12361	Undirected			2
12345	12362	Undirected			4
12346	12343	Undirected			1
12346	12350	Undirected			1
12346	12353	Undirected			2
12346	12356	Undirected			1
12346	12359	Undirected			1
12347	12340	Undirected			1
12347	12341	Undirected			1
12347	12344	Undirected			3
12347	12348	Undirected			1
12347	12353	Undirected			1
12347	12356	Undirected			1
12347	12358	Undirected			1
12348	12341	Undirected			1
12348	12343	Undirected			1
12348	12344	Undirected			6
12348	12345	Undirected			2
12348	12347	Undirected			1
12348	12353	Undirected			1
12348	12357	Undirected			1
12348	12358	Undirected			1
12348	12359	Undirected			2
12348	12361	Undirected			3
12349	12343	Undirected			1
12349	12344	Undirected			1
12349	12350	Undirected			1
12349	12351	Undirected			1
12349	12353	Undirected			2
12349	12358	Undirected			2
12350	12343	Undirected			4
12350	12344	Undirected			4
12350	12346	Undirected			1
12350	12349	Undirected			1
12350	12351	Undirected			1
12350	12353	Undirected			2
12350	12357	Undirected			2
12350	12358	Undirected			1
12350	12359	Undirected			1
12350	12362	Undirected			1
12351	12343	Undirected			2
12351	12349	Undirected			1
12351	12350	Undirected			1
12351	12356	Undirected			1
12351	12357	Undirected			1
12351	12358	Undirected			2
12351	12361	Undirected			1
12351	12362	Undirected			1
12352	12343	Undirected			1
12352	12344	Undirected			1
12352	12345	Undirected			2
12352	12353	Undirected			1
12352	12356	Undirected			1
12352	12357	Undirected			2
12352	12359	Undirected			2
12352	12361	Undirected			1
12352	12362	Undirected			2
12353	12343	Undirected			1
12353	12344	Undirected			1
12353	12346	Undirected			2
12353	12347	Undirected			1
12353	12348	Undirected			1
12353	12349	Undirected			2
12353	12350	Undirected			2
12353	12352	Undirected			1
12353	12355	Undirected			1
12353	12356	Undirected			1
12353	12357	Undirected			1
12353	12358	Undirected			3
12353	12359	Undirected			2
12353	12361	Undirected			1
12354	12344	Undirected			1
12354	12360	Undirected			1
12354	12361	Undirected			2
12355	12353	Undirected			1
12355	12362	Undirected			1
12356	12340	Undirected			2
12356	12341	Undirected			2
12356	12343	Undirected			8
12356	12345	Undirected			2
12356	12346	Undirected			1
12356	12347	Undirected			1
12356	12351	Undirected			1
12356	12352	Undirected			1
12356	12353	Undirected			1
12356	12357	Undirected			1
12356	12358	Undirected			7
12356	12359	Undirected			2
12356	12360	Undirected			1
12356	12362	Undirected			4
12357	12343	Undirected			3
12357	12344	Undirected			1
12357	12348	Undirected			1
12357	12350	Undirected			2
12357	12351	Undirected			1
12357	12352	Undirected			2
12357	12353	Undirected			1
12357	12356	Undirected			1
12357	12358	Undirected			2
12357	12361	Undirected			1
12357	12362	Undirected			1
12358	12340	Undirected			1
12358	12341	Undirected			2
12358	12343	Undirected			14
12358	12345	Undirected			4
12358	12347	Undirected			1
12358	12348	Undirected			1
12358	12349	Undirected			2
12358	12350	Undirected			1
12358	12351	Undirected			2
12358	12353	Undirected			3
12358	12356	Undirected			7
12358	12357	Undirected			2
12358	12359	Undirected			2
12358	12360	Undirected			2
12358	12361	Undirected			2
12358	12362	Undirected			11
12359	12340	Undirected			1
12359	12342	Undirected			1
12359	12343	Undirected			2
12359	12344	Undirected			3
12359	12346	Undirected			1
12359	12348	Undirected			2
12359	12350	Undirected			1
12359	12352	Undirected			2
12359	12353	Undirected			2
12359	12356	Undirected			2
12359	12358	Undirected			2
12359	12361	Undirected			1
12359	12362	Undirected			2
12360	12354	Undirected			1
12360	12356	Undirected			1
12360	12358	Undirected			2
12360	12361	Undirected			1
12361	12343	Undirected			8
12361	12344	Undirected			9
12361	12345	Undirected			2
12361	12348	Undirected			3
12361	12351	Undirected			1
12361	12352	Undirected			1
12361	12353	Undirected			1
12361	12354	Undirected			2
12361	12357	Undirected			1
12361	12358	Undirected			2
12361	12359	Undirected			1
12361	12360	Undirected			1
12361	12362	Undirected			2
12362	12340	Undirected			4
12362	12343	Undirected			21
12362	12344	Undirected			6
12362	12345	Undirected			4
12362	12350	Undirected			1
12362	12351	Undirected			1
12362	12352	Undirected			2
12362	12355	Undirected			1
12362	12356	Undirected			4
12362	12357	Undirected			1
12362	12358	Undirected			11
12362	12359	Undirected			2
12362	12361	Undirected			2
