	App	Word
0	GE	CYCLIC
1	GE	DAMAGE
2	GE	NICRMOCB
3	GE	COBALT-NICKEL
4	GE	SUPERALLOYS,
5	GE	BETA-PHASE
6	GE	PLATINUM-ALUMINIDE
7	GE	TWO-STEP
8	GE	SALT
9	GE	QUENCH
10	GE	BUCKET
11	GE	BUCKET
12	GE	BUCKET
13	GE	OXIDATION-RESISTANT
14	GE	COATINGS,
15	GE	REDUCING
16	GE	POTENTIAL
17	GE	SUSCEPTIBILITY
18	GE	PROTECTING
19	GE	ALUMINUM-ALLOY
20	GE	WEAR-RESISTANT
21	GE	COATINGS,
22	GE	RENE
23	GE	95
24	GE	INSERTS
25	GE	SEPARATELY
26	GE	THEREWITH
27	GE	RESTORATION
28	GE	SERVICED
29	GE	AIRCRAFT
30	GE	ESTABLISHING
31	GE	THROAT
32	GE	AREA
33	GE	NOZZLE,
34	GE	TECHNIQUE
35	GE	MODIFYING
36	GE	NOZZLE
37	GE	VANES
38	GE	PLATINUM-ALUMINIDE
39	GE	FABRICATED
40	GE	ANY
41	GE	ISOTHERMAL
42	GE	AIR
43	GE	REDUCED-TANTALUM
44	GE	MATTER
45	GE	THEREFROM,
46	GE	SELECTING
47	GE	REDUCED-TANTALUM
48	GE	PRECIPITATION-STRENGTHENED
49	GE	NICKEL-IRON-CHROMIUM
50	GE	ELECTRON
51	GE	BEAM
52	GE	POST-WELD
53	GE	NICKEL-BASE-ALLOY
54	GE	REDUCING
55	GE	POTENTIAL
56	GE	SUSCEPTIBILITY
57	GE	TURBULATION
58	GE	INNER
59	GE	HOLES
60	GE	OPERATIONS
61	GE	STATIONARY
62	GE	SHROUD
63	GE	QUASI-ISOTHERMAL
64	GE	DRIVE
65	GE	HEAD
66	GE	ECM
67	GE	WEAR-RESISTANT
68	GE	COATINGS,
69	GE	SINGLE-CRYSTAL
70	GE	FABRICATED
71	GE	PLATINUM-ALUMINIDE
72	GE	NICKEL-CONTAINING
73	GE	DERIVED
74	GE	THEREFORM
75	GE	REDUCING
76	GE	RESIDUAL
77	GE	STRESSES
78	GE	SUPER-SOLVUS
79	GE	SOLUTIONED
80	GE	HVOF
81	GE	LPPS
82	GE	RESTORATION
83	GE	NANOCOMPOSITE
84	GE	EROSION
85	GE	SELECTING
86	GE	REDUCED-TANTALUM
87	GE	MATTER
88	GE	NICKEL-BASE,
89	GE	COBALT-BASE,
90	GE	IRON-BASE,
91	GE	IRON-NICKEL-BASE,
92	GE	IRON-NICKEL-COBALT-BASE
93	GE	NONMETALLIC
94	GE	PRECURSOR
95	GE	COMPOUNDS
96	GE	STABILITY
97	GE	FILLER-METAL
98	GE	ROD
99	GE	MOLDING
100	GE	BETA
101	GE	GAMMA-PRIME
102	GE	STABLE,
103	GE	SINGLE-CRYSTAL
104	GE	PROTECTED
105	GE	STRONG
106	GE	LOCAL
107	GE	CONTROLLED
108	GE	PARTITIONING
